source_dataset,clip_id,audioset_segment_sec,original_category,danger_label,esc50_fold,caption
ESC-50,1-100032-A-0.wav,,dog,1,1,a dog is barking repeatedly and then barks twice
ESC-50,1-100038-A-14.wav,,chirping_birds,0,1,birds are chirping and singing in the background
ESC-50,1-100210-A-36.wav,,vacuum_cleaner,0,1,a vacuum cleaner is running and then it is turned on
ESC-50,1-100210-B-36.wav,,vacuum_cleaner,0,1,a vacuum cleaner is being used to cut something
ESC-50,1-101296-A-19.wav,,thunderstorm,0,1,thunder rumbles in the distance as rain falls
ESC-50,1-101296-B-19.wav,,thunderstorm,0,1,thunder is rumbling in the distance and a thunderstorm is in the background
ESC-50,1-101336-A-30.wav,,door_wood_knock,0,1,a person is knocking on a wooden door and then tapping on a hard surface
ESC-50,1-101404-A-34.wav,,can_opening,0,1,someone is opening and closing a can of soda
ESC-50,1-103298-A-9.wav,,crow,0,1,a bird is squawking loudly while other birds are chirping in the background
ESC-50,1-103995-A-30.wav,,door_wood_knock,0,1,a person is knocking on a door five times
ESC-50,1-103999-A-30.wav,,door_wood_knock,0,1,a person is knocking on a door five times
ESC-50,1-104089-A-22.wav,,clapping,0,1,a large group of people are clapping and applauding
ESC-50,1-104089-B-22.wav,,clapping,0,1,a large group of people are clapping and applauding
ESC-50,1-105224-A-22.wav,,clapping,0,1,a crowd of people are clapping and applauding
ESC-50,1-110389-A-0.wav,,dog,1,1,a dog is barking and growling at a consistent rate
ESC-50,1-110537-A-22.wav,,clapping,0,1,a crowd of people are clapping and applauding loudly
ESC-50,1-115521-A-19.wav,,thunderstorm,0,1,thunder rolls in the distance and then fades away
ESC-50,1-115545-A-48.wav,,fireworks,0,1,fireworks are going off in the distance
ESC-50,1-115545-B-48.wav,,fireworks,0,1,fireworks are going off in the distance
ESC-50,1-115545-C-48.wav,,fireworks,0,1,a gun is fired in the distance and then more gunshots go off in the background
ESC-50,1-115546-A-48.wav,,fireworks,0,1,fireworks are going off in the distance
ESC-50,1-115920-A-22.wav,,clapping,0,1,a large group of people are clapping and applauding
ESC-50,1-115920-B-22.wav,,clapping,0,1,a crowd of people are clapping and applauding
ESC-50,1-115921-A-22.wav,,clapping,0,1,a crowd of people clapping and applauding at a steady pace
ESC-50,1-116765-A-41.wav,,chainsaw,1,1,a person is using a saw to cut wood
ESC-50,1-11687-A-47.wav,,airplane,0,1,an airplane is flying over a runway and getting ready to take off
ESC-50,1-118206-A-31.wav,,mouse_click,0,1,a person is tapping on a piece of wood
ESC-50,1-118559-A-17.wav,,pouring_water,0,1,water is being poured into a container at a steady pace
ESC-50,1-119125-A-45.wav,,train,0,1,a train is passing by on the tracks and the wind is blowing
ESC-50,1-121951-A-8.wav,,sheep,0,1,a sheep is bleating and birds are chirping in the background
ESC-50,1-12653-A-15.wav,,water_drops,0,1,water is dripping from a faucet into a sink
ESC-50,1-12654-A-15.wav,,water_drops,0,1,water is dripping from a faucet into a sink
ESC-50,1-12654-B-15.wav,,water_drops,0,1,water is dripping from a faucet into a sink
ESC-50,1-13571-A-46.wav,,church_bells,0,1,church bells are ringing loudly in a large room
ESC-50,1-13572-A-46.wav,,church_bells,0,1,church bells are ringing loudly in the background
ESC-50,1-13613-A-37.wav,,clock_alarm,0,1,a machine is making a high pitched noise
ESC-50,1-137296-A-16.wav,,wind,0,1,wind blows in the background as a car drives by
ESC-50,1-137-A-32.wav,,keyboard_typing,0,1,a person typing on a keyboard and types on a typewriter
ESC-50,1-14262-A-37.wav,,clock_alarm,0,1,an alarm clock is ringing loudly and then stops
ESC-50,1-155858-A-25.wav,,footsteps,0,1,someone is walking on a hard surface with shoes
